Temperature-(C),FerriteStart,FerriteEnd,PearliteStart,PearliteEnd,BainiteStart,BainiteEnd
800, , , ,, ,
790, , , ,, ,
780, , , ,, ,
770, , , ,, ,
760, , ,1395.71,8183.04,,
750, , ,333.75,1957.55, ,
740, , ,140.22,822.42999999999995, ,
730, , ,77.049999999999997,451.67000000000002, ,
720, , ,49.590000000000003,290.69999999999999, ,
710, , ,35.460000000000001,207.97, ,
700, , ,27.359999999999999,160.53, ,
690, , ,22.370000000000001,131.22999999999999, ,
680, , ,19.149999999999999,112.33, ,
670, , ,17.02,99.780000000000001, ,
660, , ,15.6,91.5, ,
650, , ,14.699999999999999,86.189999999999998, ,
640, , ,14.18,83.159999999999997, ,
630, , ,13.98,81.989999999999995, ,
620, , ,14.050000000000001,82.409999999999997, ,
610, , ,14.359999999999999,84.280000000000001, ,
600, , ,14.94,87.620000000000005, ,
590, , ,15.77,92.480000000000004, ,
580, , ,16.91,99.120000000000005, ,
570, , ,18.379999999999999,107.68000000000001, ,
560, , ,20.25,118.66, ,
550, , ,22.609999999999999,132.47, ,
540, , ,25.579999999999998,149.78, ,
530, , ,29.300000000000001,171.59, ,
520, , ,34,199.03, ,
510, , ,39.960000000000001,233.68000000000001, ,
500, , ,47.549999999999997,278, ,
490, , ,57.299999999999997,334.74000000000001, ,
480, , ,69.950000000000003,408.13, ,
470, , ,86.5,503.88, ,
460, , ,108.34,864.11000000000001,,
450, , ,,,249.80000000000001,2458.96
440, , , ,,163.43000000000001,2470.4499999999998
430, , , ,,128.91999999999999,2153.77
420, , , ,,113.89,1950.26
410, , , ,,108.67,1874.8299999999999
400, , , ,,109.93000000000001,1910.71
390, , , ,,116.38,2021.79
380, , , ,,127.98,2220.3699999999999
370, , , ,,145.41,2523.8200000000002
360, , , ,,170.00999999999999,2952.4299999999998
350, , , ,,204.09,3546.9099999999999
340, , , ,,251.13999999999999,4361.9099999999999
330, , , ,,316.19,5488.7799999999997
320, , , ,,407.14999999999998,7073.7600000000002
310, , , ,,535.57000000000005,9311.1700000000001
300, , , ,,719.86000000000001,12511.4
290, , , ,,988.49000000000001,17151.799999999999
280, , , ,,1386.24,24092.200000000001
270, , , ,,1987.5699999999999,34506
260, , , ,,2912.9899999999998,50594
250, , , ,,4366.8500000000004,75854.300000000003
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
