Номер_шага	time	Pearlite	Bainite	Martensite	Austenite	Ferrite
1	1	0.0001	0.0001	0.0001	0.9996	0.0001
2	2	0.0001	0.0001	0.0001	0.9996	0.0001
3	3	0.0001	0.0001	0.0001	0.9996	0.0001
4	4	0.0001	0.0001	0.0001	0.9996	0.0001
5	5	0.0001	0.0001	0.0001	0.9996	0.0001
6	6	0.0001	0.0001	0.0001	0.9996	0.0001
7	7	0.0001	0.0001	0.0001	0.9996	0.0001
8	8	0.0001	0.0001	0.0001	0.9996	0.0001
9	9	0.0001	0.0001	0.0001	0.9996	0.0001
10	10	0.0001	0.0001	0.0001	0.9996	0.0001
11	11	0.0001	0.0001	0.0001	0.9996	0.0001
12	12	0.0001	0.0001	0.0001	0.9996	0.0001
13	13	0.0001	0.0001	0.0001	0.9996	0.0001
14	14	0.0001	0.0001	0.0001	0.9996	0.0001
15	15	0.0001	0.0001	0.0001	0.9996	0.0001
16	16	0.0001	0.0001	0.0001	0.9996	0.0001
17	17	0.0001	0.0001	0.0001	0.9996	0.0001
18	18	0.0001	0.0001	0.0001	0.9996	0.0001
19	19	0.0001	0.0001	0.0001	0.9996	0.0001
20	20	0.0001	0.0001	0.0001	0.9996	0.0001
21	21	0.0001	0.0001	0.0001	0.9996	0.0001
22	22	0.0001	0.0001	0.0001	0.9996	0.0001
23	23	0.0001	0.0001	0.0001	0.9996	0.0001
24	24	0.0001	0.0001	0.0001	0.9996	0.0001
25	25	0.0001	0.0001	0.0001	0.9996	0.0001
26	26	0.0001	0.0001	0.0001	0.9996	0.0001
27	27	0.0001	0.0001	0.0001	0.9996	0.0001
28	28	0.0001	0.0001	0.0001	0.9996	0.0001
29	29	0.0001	0.0001	0.0001	0.9996	0.0001
30	30	0.0001	0.0001	0.0001	0.9996	0.0001
31	31	0.0001	0.0001	0.0001	0.9996	0.0001
32	32	0.0001	0.0001	0.0001	0.9996	0.0001
33	33	0.0001	0.0001	0.0001	0.9996	0.0001
34	34	0.0001	0.0001	0.0001	0.9996	0.0001
35	35	0.0001	0.0001	0.0001	0.9996	0.0001
36	36	0.0001	0.0001	0.0001	0.9996	0.0001
37	37	0.0001	0.0001	0.0001	0.9996	0.0001
38	38	0.0001	0.0001	0.0001	0.9996	0.0001
39	39	0.0001	0.0001	0.0001	0.9996	0.0001
40	40	0.0001	0.0001	0.0001	0.9996	0.0001
41	41	0.0001	0.0001	0.0001	0.9996	0.0001
42	42	0.0001	0.0001	0.0001	0.9996	0.0001
43	43	0.0001	0.0001	0.0001	0.9996	0.0001
44	44	0.0001	0.0001	0.0001	0.9996	0.0001
45	45	0.0001	0.0001	0.0001	0.9996	0.0001
46	46	0.0001	0.0001	0.0001	0.9996	0.0001
47	47	0.0001	0.0001	0.0001	0.9996	0.0001
48	48	0.0001	0.0001	0.0001	0.9996	0.0001
49	49	0.0001	0.0001	0.0001	0.9996	0.0001
50	50	0.0001	0.0001	0.0001	0.9996	0.0001
51	51	0.0001	0.0001	0.0001	0.9996	0.0001
52	52	0.0001	0.0001	0.0001	0.9996	0.0001
53	53	0.0001	0.0001	0.0001	0.9996	0.0001
54	54	0.0001	0.0001	0.0001	0.9996	0.0001
55	55	0.0001	0.0001	0.0001	0.9996	0.0001
56	56	0.0001	0.0001	0.0001	0.9996	0.0001
57	57	0.0001	0.0001	0.0001	0.9996	0.0001
58	58	0.0001	0.0001	0.0001	0.9996	0.0001
59	59	0.0001	0.0001	0.0001	0.9996	0.0001
60	60	0.0001	0.0001	0.0001	0.9996	0.0001
61	61	0.0001	0.0001	0.0001	0.9996	0.0001
62	62	0.0001	0.0001	0.0001	0.9996	0.0001
63	63	0.0001	0.0001	0.0001	0.9996	0.0001
64	64	0.0001	0.0001	0.0001	0.9996	0.0001
65	65	0.0001	0.0001	0.0001	0.9996	0.0001
66	66	0.0001	0.0001	0.0001	0.9996	0.0001
67	67	0.0001	0.0001	0.0001	0.9996	0.0001
68	68	0.0001	0.0001	0.0001	0.9996	0.0001
69	69	0.0001	0.0001	0.0001	0.9996	0.0001
70	70	0.0001	0.0001	0.0001	0.9996	0.0001
71	71	0.0001	0.0001	0.0001	0.9996	0.0001
72	72	0.0001	0.0001	0.0001	0.9996	0.0001
73	73	0.0001	0.0001	0.0001	0.9996	0.0001
74	74	0.0001	0.0001	0.0001	0.9996	0.0001
75	75	0.0001	0.0001	0.0001	0.9996	0.0001
76	76	0.0001	0.0001	0.0001	0.9996	0.0001
77	77	0.0001	0.0001	0.0001	0.9996	0.0001
78	78	0.0001	0.0001	0.0001	0.9996	0.0001
79	79	0.0001	0.0001	0.0001	0.9996	0.0001
80	80	0.0001	0.0001	0.0001	0.9996	0.0001
81	81	0.0001	0.0001	0.0001	0.9996	0.0001
82	82	0.0001	0.0001	0.0001	0.9996	0.0001
